INFO - 2024-10-02 19:46:19,128 - logger.logging_config - main.py - line: 37 - Starting bot
INFO - 2024-10-02 19:46:19,690 - logger.logging_config - subscription_checker.py - line: 115 - Running subscription checker...
INFO - 2024-10-02 19:46:19,755 - logger.logging_config - subscriptions.py - line: 90 - Нет ни одной подписки
INFO - 2024-10-02 19:46:41,567 - logger.logging_config - main.py - line: 37 - Starting bot
INFO - 2024-10-02 19:46:42,038 - logger.logging_config - subscription_checker.py - line: 115 - Running subscription checker...
INFO - 2024-10-02 19:46:42,105 - logger.logging_config - subscriptions.py - line: 90 - Нет ни одной подписки
INFO - 2024-10-02 19:46:51,037 - logger.logging_config - logging_middleware.py - line: 20 - Пользователь qvvan (ID: 323993202) отправил сообщение: /subs
INFO - 2024-10-02 19:46:54,762 - logger.logging_config - logging_middleware.py - line: 20 - Пользователь qvvan (ID: 323993202) отправил сообщение: /support
INFO - 2024-10-02 19:46:56,746 - logger.logging_config - logging_middleware.py - line: 20 - Пользователь qvvan (ID: 323993202) отправил сообщение: /createorder
WARNING - 2024-10-02 19:46:56,806 - logger.logging_config - outline_manager.py - line: 29 - No servers found in the database.
INFO - 2024-10-02 19:46:57,890 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: cancel
INFO - 2024-10-02 19:50:04,852 - logger.logging_config - logging_middleware.py - line: 20 - Пользователь qvvan (ID: 323993202) отправил сообщение: /help
INFO - 2024-10-02 19:50:11,420 - logger.logging_config - logging_middleware.py - line: 20 - Пользователь qvvan (ID: 323993202) отправил сообщение: /add_server
INFO - 2024-10-02 19:50:21,294 - logger.logging_config - logging_middleware.py - line: 20 - Пользователь qvvan (ID: 323993202) отправил сообщение: https://185.164.163.38:35995/lnIlA5AYTo8NdmpasApr4w
INFO - 2024-10-02 19:50:27,569 - logger.logging_config - logging_middleware.py - line: 20 - Пользователь qvvan (ID: 323993202) отправил сообщение: 39FEF0C0007EE55919C873DA590835DA986E2A7A08A4934037BC85B64769609D
INFO - 2024-10-02 19:50:32,901 - logger.logging_config - logging_middleware.py - line: 20 - Пользователь qvvan (ID: 323993202) отправил сообщение: /add_key
INFO - 2024-10-02 19:50:32,981 - logger.logging_config - outline_manager.py - line: 27 - Initialized 1 servers.
INFO - 2024-10-02 19:50:34,284 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: select_server:4e87831f-ddce-48b6-8ad3-97ab238210da:0
INFO - 2024-10-02 19:50:34,377 - logger.logging_config - outline_manager.py - line: 27 - Initialized 1 servers.
INFO - 2024-10-02 19:50:36,764 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: select_server:4e87831f-ddce-48b6-8ad3-97ab238210da:0
INFO - 2024-10-02 19:50:40,038 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: select_server:4e87831f-ddce-48b6-8ad3-97ab238210da:0
INFO - 2024-10-02 19:53:10,258 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: select_server:4e87831f-ddce-48b6-8ad3-97ab238210da:0
INFO - 2024-10-02 19:53:10,786 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: select_server:4e87831f-ddce-48b6-8ad3-97ab238210da:0
INFO - 2024-10-02 19:53:10,958 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: select_server:4e87831f-ddce-48b6-8ad3-97ab238210da:0
INFO - 2024-10-02 19:53:12,648 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: select_server:4e87831f-ddce-48b6-8ad3-97ab238210da:0
INFO - 2024-10-02 19:53:13,084 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: select_server:4e87831f-ddce-48b6-8ad3-97ab238210da:0
INFO - 2024-10-02 19:53:15,676 - logger.logging_config - logging_middleware.py - line: 20 - Пользователь qvvan (ID: 323993202) отправил сообщение: /add_key
INFO - 2024-10-02 19:53:15,756 - logger.logging_config - outline_manager.py - line: 27 - Initialized 1 servers.
INFO - 2024-10-02 19:53:17,615 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: select_server:4e87831f-ddce-48b6-8ad3-97ab238210da:1
INFO - 2024-10-02 19:53:17,690 - logger.logging_config - outline_manager.py - line: 27 - Initialized 1 servers.
INFO - 2024-10-02 19:53:19,075 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: select_server:4e87831f-ddce-48b6-8ad3-97ab238210da:1
INFO - 2024-10-02 19:53:19,895 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: select_server:4e87831f-ddce-48b6-8ad3-97ab238210da:1
INFO - 2024-10-02 19:53:26,228 - logger.logging_config - main.py - line: 37 - Starting bot
INFO - 2024-10-02 19:53:26,874 - logger.logging_config - subscription_checker.py - line: 115 - Running subscription checker...
INFO - 2024-10-02 19:53:26,925 - logger.logging_config - subscriptions.py - line: 90 - Нет ни одной подписки
INFO - 2024-10-02 19:53:27,989 - logger.logging_config - logging_middleware.py - line: 20 - Пользователь qvvan (ID: 323993202) отправил сообщение: /add_key
INFO - 2024-10-02 19:53:28,145 - logger.logging_config - outline_manager.py - line: 27 - Initialized 1 servers.
INFO - 2024-10-02 19:53:29,446 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: select_server:4e87831f-ddce-48b6-8ad3-97ab238210da:2
INFO - 2024-10-02 19:53:29,517 - logger.logging_config - outline_manager.py - line: 27 - Initialized 1 servers.
INFO - 2024-10-02 19:53:30,859 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: select_server:4e87831f-ddce-48b6-8ad3-97ab238210da:2
INFO - 2024-10-02 19:53:30,931 - logger.logging_config - outline_manager.py - line: 27 - Initialized 1 servers.
INFO - 2024-10-02 19:53:33,607 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: select_server:4e87831f-ddce-48b6-8ad3-97ab238210da:2
INFO - 2024-10-02 19:53:33,701 - logger.logging_config - outline_manager.py - line: 27 - Initialized 1 servers.
INFO - 2024-10-02 19:53:36,469 - logger.logging_config - logging_middleware.py - line: 20 - Пользователь qvvan (ID: 323993202) отправил сообщение: /createorder
INFO - 2024-10-02 19:53:36,549 - logger.logging_config - outline_manager.py - line: 27 - Initialized 1 servers.
INFO - 2024-10-02 19:53:48,015 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: select_server:4e87831f-ddce-48b6-8ad3-97ab238210da:5
INFO - 2024-10-02 19:53:49,863 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: service:1:4e87831f-ddce-48b6-8ad3-97ab238210da
INFO - 2024-10-02 19:55:08,439 - logger.logging_config - main.py - line: 37 - Starting bot
INFO - 2024-10-02 19:55:08,902 - logger.logging_config - subscription_checker.py - line: 115 - Running subscription checker...
INFO - 2024-10-02 19:55:08,955 - logger.logging_config - subscriptions.py - line: 90 - Нет ни одной подписки
INFO - 2024-10-02 19:55:11,498 - logger.logging_config - logging_middleware.py - line: 20 - Пользователь qvvan (ID: 323993202) отправил сообщение: /createorder
INFO - 2024-10-02 19:55:11,560 - logger.logging_config - outline_manager.py - line: 27 - Initialized 1 servers.
INFO - 2024-10-02 19:55:12,978 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: select_server:4e87831f-ddce-48b6-8ad3-97ab238210da:5
INFO - 2024-10-02 19:55:14,357 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: service:1:4e87831f-ddce-48b6-8ad3-97ab238210da
INFO - 2024-10-02 19:55:22,359 - logger.logging_config - logging_middleware.py - line: 20 - Пользователь qvvan (ID: 323993202) отправил сообщение: /createorder
INFO - 2024-10-02 19:55:22,455 - logger.logging_config - outline_manager.py - line: 27 - Initialized 1 servers.
INFO - 2024-10-02 19:55:23,684 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: select_server:4e87831f-ddce-48b6-8ad3-97ab238210da:5
INFO - 2024-10-02 19:55:25,010 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: service:1:4e87831f-ddce-48b6-8ad3-97ab238210da
INFO - 2024-10-02 19:55:45,163 - logger.logging_config - main.py - line: 37 - Starting bot
INFO - 2024-10-02 19:55:45,642 - logger.logging_config - subscription_checker.py - line: 115 - Running subscription checker...
INFO - 2024-10-02 19:55:45,710 - logger.logging_config - subscriptions.py - line: 90 - Нет ни одной подписки
